unit,word,type,meaning
Unit 1,years,old,年輕的
Unit 1,woman,n. women,女人（複數為 ） Who's that beautiful tall woman?
Unit 1,very,adv,非常 This tree is very tall.
Unit 1,beautiful,adj,美麗的 Your school is big and beautiful.
Unit 1,cousin,n,"堂表兄弟姐妹 Sharon is my cousin, not my sister."
Unit 1,years,old,[cYIr(Z) $ oLD]
Unit 1,office,worker n,"上班族 I am an office worker, and my wife is, too."
Unit 1,housewife,n,家庭主婦 My grandmother is a housewife.
Unit 1,police,officer n,警察 This is my cousin. He is a police officer.
Unit 1,uncle,n,叔伯；舅舅 My uncle is a good cook.
Unit 1,aunt,n,阿姨；姑姑 Aunt Shelly is my mother's good friend.
Unit 1,wife,n,妻子 Isn't his wife a doctor?
Unit 1,daughter,n,女兒 Julia is Mr. and Mrs. Wilson's daughter.
Unit 1,husband,n,丈夫 Her husband is a nurse.
Unit 1,son,n,兒子 Mrs. Fang is a mother of three sons.
Unit 1,dear,adj,親愛的 This is a picture of my dear students.
Unit 1,baby,n.; adj,嬰兒；年幼的 The baby's father is Mr. Martin.
Unit 2,house,n,房子 Jimmy is not in the house.
Unit 2,parents,n,父母親 Her parents are very nice.
Unit 2,living,room n,客廳 The new sofa is in the living room.
Unit 2,wall,n,牆壁 The walls of this room are thin.
Unit 2,purple,adj.; n,紫色（的） The singer's hair is purple.
Unit 2,favorite,adj.; n,最喜愛（的） This is my favorite park. It's nice and big.
Unit 2,color,n,顏色 My favorite color is blue.
Unit 2,kitchen,n,廚房 Is your aunt in the kitchen?
Unit 2,dining,room n,飯廳 Aren't the eggs on the dining room table?
Unit 2,but,conj,"但是 My room is big, but my bed is not."
Unit 2,gray,adj.; n,灰色（的） My dad's car is gray.
Unit 2,brown,adj.; n,棕色（的） Jerry's dog is brown.
Unit 2,mice,n. mouse,老鼠（為 的複數） Two white mice are in the box.
Unit 2,sofa,n,沙發 The old sofa is in my grandfather's bedroom.
Unit 2,notebook,n,筆記本 My notebooks are in my schoolbag.
Unit 2,brush,n,毛筆；筆刷 Your brush is under your bed.
Unit 2,bathroom,n,"浴室；廁所 Are you in the bathroom, Mom?"
Unit 2,table,n,"桌子 Sammy, your pencil is on the table."
Unit 2,bedroom,n,臥室 Her bedroom is next to the living room.
Unit 2,near,prep,在…附近 My uncle's farm is near the zoo.
Unit 2,behind,prep,在…後面 Look! Kenny's cat is behind the tree.
Unit 2,special,adj,特別的 What's special about this pencil?
Unit 2,right,adv,就 My house is right next to a park.
Unit 2,each,other pron,彼此；互相 My classmates are nice to each other.
Unit 2,above,prep.; adv,在…上方；在上方 The clock is above the TV.
Unit 3,magic,adj.; n,神奇的；魔法 Sally is a fan of magic.
Unit 3,can,aux,可以；會 We can't eat in the lab.
Unit 3,many,adj.; pron,許多（的） Many English teachers are women.
Unit 3,museum,n,博物館 Please don't run in the museum.
Unit 3,please,int,請；拜託 Please close the door for me.
Unit 3,man,n. men,男人（複數為 ） That man is my uncle. He's a doctor.
Unit 3,now,adv,現在 Freddy is in the bathroom now.
Unit 3,or,conj,或者 Don't eat or drink on the bus.
Unit 3,time,n,次；時間 Please be careful this time.
Unit 3,class,n,課；班級 Please follow class rules.
Unit 3,quiet,adj,安靜的 Ken is a quiet student.
Unit 3,turn,off,"關掉 Sam, turn off the TV and go to bed now."
Unit 3,talk,v,說話 Let's not talk here.
Unit 3,fight,v.; n,"吵架；打架 Leo, don't fight with your brother."
Unit 3,safe,adj,安全的 Do not run in the lab. That's not safe.
Unit 3,wash,v,清洗 We can wash your dad's car this afternoon.
Unit 3,after,class,下課後 Let's play basketball after class.
Unit 4,band,n,樂團 My favorite band is singing on stage.
Unit 4,take,a look,看一看 Jay is singing on TV. Come take a look.
Unit 4,all,adj,所有的 All the books in the box are from my aunt Lisa.
Unit 4,cute,adj,可愛的 Toto is a really cute dog.
Unit 4,free,adj,有空的 Are you free for the meet-and-greet on Sunday?
Unit 4,weekend,n,週末 The baseball game is this weekend.
Unit 4,Saturday,n,星期六 The welcome party is on Saturday night.
Unit 4,together,adv,一起 Let’s go to school together.
Unit 4,ready,adj,準備好的 Are you ready for school?
Unit 4,p.m.,adv,下午；晚上 It's 8:25 p.m. now.
Unit 4,day,n,日；天 It's a great day today.
Unit 4,today,adv.; n,今天 It is Teacher's Day today.
Unit 4,Sunday,n,星期日 The zoo is not open on Sundays.
Unit 4,Monday,n,星期一 The music class is on Monday afternoon.
Unit 4,Tuesday,n,星期二 Can I go to your house on Tuesday?
Unit 4,Thursday,n,星期四 Thursday is between Wednesday and Friday.
Unit 4,week,n,週；星期 The new museum is open this week.
Unit 4,a.m.,adv,上午；凌晨 Isn't the basketball game at 10:50 a.m.?
Unit 4,study,v,研讀 Peter is studying in his room.
Unit 4,English,n,英文 Mr. Cheng is my English teacher.
Unit 4,take,a walk,散步 Let's take a walk together.
Unit 4,popular,adj,受歡迎的 The singer is very handsome and popular.
Unit 4,fan,n,…迷 The fan is taking a picture with the writer.
Unit 4,s,hake hands,握手 James is shaking hands with his teacher.
Unit 5,date,n,日期 The date of the concert is September twenty-first.
Unit 5,November,n,十一月 Thanksgiving is in November.
Unit 5,important,adj,重要的 Basketball is important to Jesse.
Unit 5,holiday,n,節日；假日 Christmas is my favorite holiday.
Unit 5,birthday,n,生日 Tomorrow is my birthday.
Unit 5,also,adv,"也；此外 Ted is my cousin, and he's also my classmate."
Unit 5,before,prep,在…之前 Let's play a game before dinner.
Unit 5,around,adv.; prep,圍繞；在…附近 Are there many houses around the park?
Unit 5,next,adj,下一個的 Christmas Eve is next week.
Unit 5,month,n,月份 My sister is seven months old.
Unit 5,January,n,一月 January is the first month of the year.
Unit 5,February,n,二月 The holiday is in February.
Unit 5,March,n,三月 The baseball game is on March fifteenth.
Unit 5,April,n,四月 April is between March and May.
Unit 5,May,n,五月 Mother's Day is on the second Sunday of May.
Unit 5,June,n,六月 June first is on Saturday this year.
Unit 5,J,uly n,七月 July fourth is a very important day in the USA.
Unit 5,August,n,八月 Father's Day in Taiwan is on August eighth.
Unit 5,September,n,九月 September twenty-eighth is Confucius' birthday.
Unit 5,October,n,十月 October is after September.
Unit 5,Christmas,n,聖誕節 It's Christmas today.
Unit 5,animal,n,動物 What's your favorite animal?
Unit 5,cow,n,牛；乳牛 Don't touch the cow. It's eating.
Unit 5,lucky,adj,幸運的 Twelve is my lucky number.
Unit 5,only,adv.; adj,"只是；唯一的 He is only a boy, not a man."
Unit 5,dinner,n,晚餐 Sammy is having dinner with her family.
Unit 6,l,ion n,獅子 Is there a lion under the tree?
Unit 6,over,there,在那裡 The woman over there is a cook.
Unit 6,king,n,國王 The beautiful house is for the king.
Unit 6,some,adj.; pron,一些（的） There are some comic books on the desk.
Unit 6,elephant,n,大象 There's an elephant in front of the bus.
Unit 6,so,adv,如此地 Uncle Peter's farm is so big.
Unit 6,any,adj.; pron,任何（的） There aren't any chairs in the classroom.
Unit 6,tiger,n,老虎 Lions and tigers are big cats.
Unit 6,zebra,n,斑馬 There are no zebras near here.
Unit 6,back,n,背；後面 Is that a bird on the dog's back?
Unit 6,help,n.; v,幫助；幫忙 The watch is a great help to me.
Unit 6,monkey,n,猴子 There are three monkeys in the tree.
Unit 6,fox,n,狐狸 Are there two foxes over there?
Unit 6,horse,n,馬 This horse is very old.
Unit 6,rat,n,老鼠 There is a big rat in the kitchen.
Unit 6,bear,n,熊 Are there any bears in Africa?
Unit 6,world,n,世界 The lion is the king of the animal world.
Unit 6,example,n,實例 The Lins are a great example of a happy family.
Unit 6,bug,n,蟲子 Look! There is a bug in the pencil box.
Unit 6,food,n,食物 I'm hungry. Let's eat some food.
Unit 6,clean,up,清理；打掃 Tom is cleaning up his room.
Unit 6,healthy,adj,健康的 Mary's daughter is a healthy girl.
Unit 6,thanks to,v,"幸虧󠄂；由於 Thanks to Mom, we can have a great dinner."
Unit 6,clean,adj,乾淨的 Their house is very clean.
