年度,題號,分類,題幹,選項
112,4,語法結構,People got very excited when they watched Ms. Smith _____ at the party.,(A) danced (B) dancing (C) has danced (D) to dance
112,6,語法結構,Rex did not feel the earthquake this morning. He _____ in the park at the time.,(A) jogged (B) was jogging (C) has jogged (D) would jog
112,12,語法結構,"Ed and Jill _____ camping this weekend, so they have to finish their homework by Friday.",(A) went (B) were going (C) are going (D) have gone
112,13,語法結構,"Doraemon, a blue Japanese robot cat, has hated mice since his ears _____ by a mouse.",(A) bit (B) bite (C) were bitten (D) have bitten
112,14,語法結構,"If we play some interesting games in class, there _____ more fun in learning English.",(A) are (B) has (C) will be (D) will have
112,19,語法結構,Scott wasn’t sure if the young woman before him was _____ pulled him out of a car on fire.,(A) who (B) the one (C) the one she (D) the one who
112,20,語法結構,I _____ swimming for several years before I went to this high school. I gave it up because of heavy schoolwork.,(A) have practiced (B) am practicing (C) practiced (D) would practice
112,22,語法結構,The new medicine that just came out on the market _____ thousands of lives.,(A) and saved (B) has saved (C) saving (D) to save
112,23,語法結構,"Now I often think of those days with Pip, my pet dog. When I read in my room, he _____ quietly beside me.",(A) will come and sit (B) comes and sits (C) has come and sat (D) used to come and sit
111,8,語法結構,"Although it took me lots of time _____ a big meal for ten people, I was happy that everyone enjoyed it.",(A) prepare (B) to prepare (C) preparing (D) prepared
111,10,語法結構,Bob is _____ of the boys in the family. He never does any housework. His brothers at least take out the garbage sometimes.,(A) lazier (B) the lazy (C) the lazier (D) the laziest
111,11,語法結構,"Aunt Gina has lived in this town for more than sixty years, so she _____ it very well.",(A) will know (B) knew (C) knows (D) was going to know
111,13,語法結構,"Yesterday when I got home from work, my brother _____ for dinner, so he invited me to join him.",(A) goes out (B) went out (C) has gone out (D) was going out
111,15,語法結構,Have you found a summer job yet? Mr. Firth _____ someone to take care of his kids during the vacation. Maybe you can talk to him.,(A) has looked for (B) is looking for (C) looks for (D) was looking for
111,16,語法結構,David looked out of the balcony window and saw a woman get in his car _____ away.,(A) drive (B) drove (C) and drive (D) and drove
111,17,語法結構,The police haven’t found the little girl who _____ at a supermarket. They’ll keep doing all they can to find her.,(A) took away (B) taken away (C) has taken away (D) was taken away
111,18,語法結構,"Buses to the airport only come once every hour, and we just missed _____. Why don’t we take a taxi?",(A) another (B) it (C) one (D) them
111,19,語法結構,Ariel _____ every night for a week before her Chinese test and got a very good grade.,(A) studied (B) studies (C) has studied (D) was going to study
110,2,語法結構,Listen! The baby _____ in the bedroom. Why don’t you go in and take a look?,(A) cried (B) cries (C) is crying (D) will cry
110,5,語法結構,Paul misses his parents a lot. He _____ them since he came to work in Taiwan a year ago.,(A) didn’t see (B) doesn’t see (C) hasn’t seen (D) won’t see
