年度,題號,分類,題幹,選項
112,1,字詞理解,Look at the picture. The man is holding a _____ of grapes in his hands.,(A) bag (B) basket (C) bowl (D) box
112,2,字詞理解,Dennis enjoys _____ in public. He is proud of his beautiful voice.,(A) dancing (B) drawing (C) shopping (D) singing
112,3,字詞理解,"Mrs. Johnson can’t hear very well. If you need to talk to her, you must _____ .",(A) explain (B) hurry (C) listen (D) shout
112,5,字詞理解,"I tried on these shoes in several different _____, and I thought the white pair looked best on me.",(A) colors (B) prices (C) shapes (D) sizes
112,7,字詞理解,Mr. Lee has worked in the same store for ten years; he’s never thought about _____ his job.,(A) changing (B) finding (C) remembering (D) starting
112,8,字詞理解,I didn’t take the bus today because it was _____ . All the seats were taken and a lot of students were standing.,(A) dirty (B) fast (C) full (D) wrong
112,9,字詞理解,"Don’t go away when you’re cooking, _____ the food might burn.",(A) but (B) if (C) or (D) so
112,10,字詞理解,"Jerry wanted to know _____ he was kicked off the soccer team, but no one gave him a good reason.",(A) where (B) when (C) whether (D) why
112,11,字詞理解,"Jenny is already forty, doesn’t have a job and often makes trouble for her parents. To them, she is really a(n) _____ .",(A) daughter (B) example (C) gift (D) headache
112,15,字詞理解,The _____ of this shop was so bad; I never got any answer after I emailed them my questions.,(A) item (B) business (C) price (D) service
112,16,字詞理解,"It’s not easy to see those islands clearly from here on sunny days, and it’s even less _____ to see them on cloudy days.",(A) difficult (B) lucky (C) possible (D) special
112,17,字詞理解,"Do you remember the CD I was looking for for months? I _____ found it in a small shop. Look, here it is!",(A) almost (B) even (C) finally (D) still
112,18,字詞理解,Business at Jane’s shop has not been good these days. And the new supermarket across the street only makes things _____ .,(A) easier (B) worse (C) more boring (D) more convenient
112,21,字詞理解,Frank Kane is so good in the movie that many people _____ he will win the best actor prize.,(A) expect (B) forget (C) notice (D) plan
111,1,字詞理解,Look at the picture. The woman is putting _____ on the cake.,(A) candles (B) forks (C) plates (D) strawberries
111,2,字詞理解,"The movie starts at two o’clock, _____ let’s meet at the theater at one forty-five.",(A) so (B) or (C) if (D) because
111,3,字詞理解,Peter is afraid of the dark. He even leaves the _____ on when sleeping.,(A) computer (B) fans (C) lights (D) music
111,4,字詞理解,Pam is a _____ baseball player; she has more fans than any other player on her team.,(A) boring (B) heavy (C) popular (D) rich
111,5,字詞理解,"I did not do my homework, so my teacher said I _____ stay after school to finish it.",(A) failed to (B) had to (C) hoped to (D) used to
111,6,字詞理解,Kevin has only enough money for the bag or the shoes. That is a hard _____ to make because he likes them both.,(A) choice (B) gift (C) rule (D) trick
111,7,字詞理解,It was _____ for us to answer the math question because we’ve done the same kind of questions many times.,(A) common (B) easy (C) safe (D) special
111,9,字詞理解,Don’t let the children swim in the river. We don’t know how _____ it is. It could be dangerous.,(A) deep (B) far (C) long (D) thick
111,12,字詞理解,"We won’t see the sun even after the typhoon leaves, because the news said that heavier rain will soon _____.",(A) catch (B) follow (C) move (D) stop
111,14,字詞理解,You were _____ not to lend Amy money. She never gives back what she borrows.,(A) crazy (B) helpful (C) wise (D) wrong
