publisher,grade,unit,word,part_of_speech,translation,sentence_example
南一,七上,lesson 1,show,n.,節目,The TV show is about food.
南一,七上,lesson 1,picture,n.,圖畫,This is my grandfather’s picture.
南一,七上,lesson 1,goose（複數為 geese）,n.,鵝,A goose is a big bird.
南一,七上,lesson 1,point,n.,分數,You’re right. Five points for you.
南一,七上,lesson 1,lion,n.,獅子,Lions are big cats.
南一,七上,lesson 1,monkey,n.,猴子,"Monkeys like to eat fruit, such as bananas."
南一,七上,lesson 1,more,adj.,更多的,I have more cakes.
南一,七上,lesson 1,winner,n.,贏家,Harry is the winner of this game.
南一,七上,lesson 1,bee,n.,蜜蜂,Sam draws two dogs and a bee on the book.
南一,七上,lesson 1,frog,n.,青蛙,The frog is small and green.
南一,七上,lesson 1,zebra,n.,斑馬,"I see zebras, monkeys, and lions in the zoo."
南一,七上,lesson 1,birthday,n.,生日,Today is my grandmother’s birthday.
南一,七上,lesson 1,elephant,n.,大象,The elephant is big and old.
南一,七上,lesson 1,mouse（複數為mice）,n.,老鼠,Help! A mouse is on the box!
南一,七上,lesson 1,ant,n.,螞蟻,The ants are very small.
南一,七上,lesson 1,sheep,n.,綿羊,"One sheep, two sheep, three sheep…, I still can’t sleep."
南一,七上,lesson 1,goat,n.,山羊,The goat is white.
南一,七上,lesson 1,angry,adj.,生氣的,Peter’s mother is angry with him.
南一,七上,lesson 1,young,adj.,年輕的,The new English teacher is young and nice.
南一,七上,lesson 1,clean,adj.,乾淨的,The white doll is clean.
南一,七上,lesson 1,dirty,adj.,髒的,The table is dirty.
南一,七上,lesson 1,hippo,n.,河馬,The hippo is big and dirty.
南一,七上,lesson 1,strong,adj.,強壯的,Jack is tall and strong.
南一,七上,lesson 1,brown,adj.,棕色的,Lions and monkeys are brown.
南一,七上,lesson 1,but,conj.,但是,"The dog is big, but it is nice."
南一,七上,lesson 1,bear,n.,熊,Bears are big and strong animals.
南一,七上,lesson 1,fruit,n.,水果,Do you want some fruit? An apple or a banana?
南一,七上,lesson 1,favorite,adj.,最喜愛的,This is my favorite picture. Isn’t it great?
南一,七上,lesson 1,hairy,adj.,毛茸茸的,This small dog is hairy.
南一,七上,lesson 1,forest,n.,森林,The forest is very big and has a lot of trees.
南一,七上,lesson 1,footprint,n.,腳印,Bigfoot’s footprints are really big.
南一,七上,lesson 1,You are a smart cookie!,Idiom,你真是冰雪聰明！,
南一,七上,lesson 2,postcard,n.,明信片,The postcard is from the USA.
南一,七上,lesson 2,the USA,abbr.,美國,Kevin is from the USA.
南一,七上,lesson 2,year(s) old,phr.,歲,My sister is ten years old.
南一,七上,lesson 2,famous,adj.,有名的,Lisa is a famous doctor.
南一,七上,lesson 2,beautiful,adj.,美麗的,Grace is a beautiful nurse.
南一,七上,lesson 2,all over the world,phr.,世界各地,He is famous all over the world.
南一,七上,lesson 2,hard,adj.,困難的,The dance is hard for my father.
南一,七上,lesson 2,easy,adj.,簡單的,The game is easy.
南一,七上,lesson 2,late,adj.,遲的,This bus is late.
南一,七上,lesson 2,tomorrow,adv.,（在）明天,See you tomorrow.
南一,七上,lesson 2,family,n.,家庭,We are a happy family.
南一,七上,lesson 2,farmer,n.,農夫,My grandpa is a farmer.
南一,七上,lesson 2,housewife,n.,家庭主婦,Mrs. Wu is a housewife.
南一,七上,lesson 2,clerk,n.,職員,The clerk is a hard-working man.
南一,七上,lesson 2,actress,n.,女演員,Emma Watson is a famous actress.
南一,七上,lesson 2,son,n.,兒子,Jay and Eric are father and son.
南一,七上,lesson 2,daughter,n.,女兒,Sabrina’s daughter is five years old.
南一,七上,lesson 2,husband,n.,丈夫,Meg’s husband is a doctor.
南一,七上,lesson 2,wife,n.,妻子,Neil and Judy are husband and wife.
南一,七上,lesson 2,junior high school,n.,國中,Tracy is a junior high school student.
南一,七上,lesson 2,star,n.,明星,Rose is my favorite TV star. She is a great actress.
南一,七上,lesson 2,still,adv.,還，仍然,"Grandpa is  years old, but he still plays basketball with young people."
南一,七上,lesson 2,cute,adj.,可愛的,This brown cat is very cute.
