unit,word,type,meaning
第一課,years,old,年輕的
第一課,woman,n. women,女人（複數為 ） Who's that beautiful tall woman?
第一課,very,adv,非常 This tree is very tall.
第一課,beautiful,adj,美麗的 Your school is big and beautiful.
第一課,cousin,n,"堂表兄弟姐妹 Sharon is my cousin, not my sister."
第一課,years,old,[cYIr(Z) $ oLD]
第一課,office,worker n,"上班族 I am an office worker, and my wife is, too."
第一課,housewife,n,家庭主婦 My grandmother is a housewife.
第一課,police,officer n,警察 This is my cousin. He is a police officer.
第一課,uncle,n,叔伯；舅舅 My uncle is a good cook.
第一課,aunt,n,阿姨；姑姑 Aunt Shelly is my mother's good friend.
第一課,wife,n,妻子 Isn't his wife a doctor?
第一課,daughter,n,女兒 Julia is Mr. and Mrs. Wilson's daughter.
第一課,husband,n,丈夫 Her husband is a nurse.
第一課,son,n,兒子 Mrs. Fang is a mother of three sons.
第一課,dear,adj,親愛的 This is a picture of my dear students.
第一課,baby,n.; adj,嬰兒；年幼的 The baby's father is Mr. Martin.
第二課,house,n,房子 Jimmy is not in the house.
第二課,parents,n,父母親 Her parents are very nice.
第二課,living,room n,客廳 The new sofa is in the living room.
第二課,wall,n,牆壁 The walls of this room are thin.
第二課,purple,adj.; n,紫色（的） The singer's hair is purple.
第二課,favorite,adj.; n,最喜愛（的） This is my favorite park. It's nice and big.
第二課,color,n,顏色 My favorite color is blue.
第二課,kitchen,n,廚房 Is your aunt in the kitchen?
第二課,dining,room n,飯廳 Aren't the eggs on the dining room table?
第二課,but,conj,"但是 My room is big, but my bed is not."
第二課,gray,adj.; n,灰色（的） My dad's car is gray.
第二課,brown,adj.; n,棕色（的） Jerry's dog is brown.
第二課,mice,n. mouse,老鼠（為 的複數） Two white mice are in the box.
第二課,sofa,n,沙發 The old sofa is in my grandfather's bedroom.
第二課,notebook,n,筆記本 My notebooks are in my schoolbag.
第二課,brush,n,毛筆；筆刷 Your brush is under your bed.
第二課,bathroom,n,"浴室；廁所 Are you in the bathroom, Mom?"
第二課,table,n,"桌子 Sammy, your pencil is on the table."
第二課,bedroom,n,臥室 Her bedroom is next to the living room.
第二課,near,prep,在…附近 My uncle's farm is near the zoo.
第二課,behind,prep,在…後面 Look! Kenny's cat is behind the tree.
第二課,special,adj,特別的 What's special about this pencil?
第二課,right,adv,就 My house is right next to a park.
第二課,each,other pron,彼此；互相 My classmates are nice to each other.
第二課,above,prep.; adv,在…上方；在上方 The clock is above the TV.
第三課,magic,adj.; n,神奇的；魔法 Sally is a fan of magic.
第三課,can,aux,可以；會 We can't eat in the lab.
第三課,many,adj.; pron,許多（的） Many English teachers are women.
第三課,museum,n,博物館 Please don't run in the museum.
第三課,please,int,請；拜託 Please close the door for me.
第三課,man,n. men,男人（複數為 ） That man is my uncle. He's a doctor.
第三課,now,adv,現在 Freddy is in the bathroom now.
第三課,or,conj,或者 Don't eat or drink on the bus.
第三課,time,n,次；時間 Please be careful this time.
